Actors,Counts
Om Puri,12
Djimon Hounsou,12
Stephen Rea,12
Gary Busey,12
James Gandolfini,12
Bette Midler,12
Jon Voight,12
Edward Burns,12
Tony Todd,12
Dominic Cooper,12
Sophie Marceau,12
Samantha Mathis,12
Crispin Glover,12
Robin Tunney,12
Lou Diamond Phillips,12
Catherine Deneuve,12
Jeremy Northam,12
Famke Janssen,12
Min-sik Choi,12
Jim Sturgess,12
Téa Leoni,12
Zoe Saldana,12
Wes Bentley,12
Martin Short,12
Kris Kristofferson,12
Kari Wuhrer,12
Shakti Kapoor,12
Aaron Taylor-Johnson,12
Mia Wasikowska,12
Rupert Grint,12
Jonny Lee Miller,12
Billy Crystal,12
Charlotte Rampling,12
Liam Hemsworth,12
Ethan Embry,12
Natasha Richardson,12
Paula Patton,11
Teresa Palmer,11
Dimple Kapadia,11
James Remar,11
Jay Baruchel,11
Maria Ford,11
Catherine OHara,11
Benjamin Bratt,11
Anthony Mackie,11
Julia Ormond,11
Jason Biggs,11
Peter Stormare,11
Geena Davis,11
Logan Lerman,11
Saffron Burrows,11
Diego Luna,11
Mark Dacascos,11
Miles Teller,11
Vivica A. Fox,11
Julie Walters,11
Jada Pinkett Smith,11
Kelly Macdonald,11
Kôji Yakusho,11
Daniel Day-Lewis,11
Frank Langella,11
Chris Hemsworth,11
J.K. Simmons,11
Jeffrey Dean Morgan,11
Robert Patrick,11
Carey Mulligan,11
Julie Strain,11
Brad Renfro,11
Peter Dinklage,11
Chiranjeevi,11
Kelly Preston,11
Emilio Estevez,11
Timothy Olyphant,11
John Lithgow,11
Maggie Gyllenhaal,11
Jason Patric,11
Takeshi Kaneshiro,11
Leslie Cheung,11
Corbin Bernsen,11
Nastassja Kinski,11
Richard E. Grant,11
Haley Joel Osment,11
William Baldwin,11
Ciarán Hinds,11
Joely Richardson,11
Saoirse Ronan,11
Bruce Davison,11
Sissy Spacek,11
Terrence Howard,11
Gina Gershon,11
Madhavan,11
Paddy Considine,11
Denise Richards,11
Chloë Sevigny,11
Mark Strong,11
Maggie Grace,11
Leslie Mann,11
Paz Vega,11
Jared Leto,11
Anthony Anderson,11
Charles S. Dutton,11
Arjun Rampal,11
Kang-ho Song,11
Karl Urban,11
Elizabeth Olsen,11
Martin Donovan,11
Freddie Highmore,11
Jason Segel,11
Lindsay Lohan,11
Sarah Polley,11
Mathieu Amalric,11
Chris Pratt,11
Franka Potente,11
Lara Flynn Boyle,11
Rooney Mara,11
Katrina Kaif,11
Lolita Davidovich,11
Robert Englund,11
Michael Peña,11
Leslie Bibb,10
Nikolaj Lie Kaas,10
Shilpa Shetty,10
Anna Paquin,10
Iain Glen,10
Frank Whaley,10
Bruce Dern,10
Jason Alexander,10
Annabella Sciorra,10
Paul Dano,10
Andrew Stevens,10
Frances OConnor,10
Jack OConnell,10
Benoît Magimel,10
Alfre Woodard,10
Amber Heard,10
Charlie Hunnam,10
James Earl Jones,10
Jeanne Tripplehorn,10
Catherine McCormack,10
Deborah Kara Unger,10
Vincent Gallo,10
Tony Goldwyn,10
Dominic West,10
Chazz Palminteri,10
Jason Flemyng,10
Julianna Margulies,10
William Forsythe,10
Debra Winger,10
David Spade,10
Emily Browning,10
Eddie Griffin,10
Melissa Leo,10
Topher Grace,10
Judy Greer,10
Gillian Anderson,10
Nick Stahl,10
Adam Scott,10
Matthew Lillard,10
Michael Vartan,10
Patrick Dempsey,10
Jim Varney,10
Elizabeth Perkins,10
Hailee Steinfeld,10
Margot Robbie,10
Omar Epps,10
Rupert Friend,10
Mimi Rogers,10
Sharlto Copley,10
Dax Shepard,10
Christopher Eccleston,10
Albert Brooks,10
Dominic Purcell,10
Fardeen Khan,10
Ian McShane,10
Arshad Warsi,10
Man-Tat Ng,10
Goldie Hawn,10
Bobby Deol,10
Michael Rapaport,10
Sally Field,10
Kelly Lynch,10
Marton Csokas,10
Anthony Chau-Sang Wong,10
Qi Shu,10
Brittany Snow,10
Eric Stoltz,10
Henry Cavill,10
Rutger Hauer,10
Joan Chen,10
Rainn Wilson,10
Jerry OConnell,10
Ed Helms,10
Don Johnson,10
Connie Nielsen,10
Ray Wise,10
Allison Janney,10
Eddie Redmayne,10
Ron Livingston,10
Michael Rooker,10
Louis Garrel,10
Meena,10
Costas Mandylor,10
Michael Cera,10
Michael Gambon,10
Ali Larter,10
Tom Arnold,10
Keri Russell,10
Macaulay Culkin,10
AnnaSophia Robb,10
Cam Gigandet,10
Casper Van Dien,10
Molly Parker,10
Til Schweiger,10
Freddie Prinze Jr.,10
Steven Bauer,10
Thomas Haden Church,10
Lena Olin,10
Jérémie Renier,10
Rachel Griffiths,10
Tom Hiddleston,10
Armie Hammer,10
Scott Speedman,10
Kerry Washington,9
Mia Farrow,9
Dominique Swain,9
Natascha McElhone,9
Andy Serkis,9
Ricardo Darín,9
Amy Poehler,9
Kristy Swanson,9
Louis Gossett Jr.,9
Stephen Dillane,9
Eduardo Noriega,9
Olga Kurylenko,9
Kelsey Grammer,9
Imogen Poots,9
Hector Elizondo,9
Valeria Golino,9
Lauren Holly,9
Ioan Gruffudd,9
Lucy Liu,9
Kelly Reilly,9
Eugene Levy,9
Stuart Townsend,9
Rip Torn,9
John Savage,9
Melissa George,9
Damon Wayans,9
Peter OToole,9
Daniel Giménez Cacho,9
Christopher McDonald,9
Rory Culkin,9
Sanaa Lathan,9
Alexandra Daddario,9
Alexis Bledel,9
Bruno Ganz,9
Melissa McCarthy,9
Hugh Dancy,9
Dane Cook,9
Kim Cattrall,9
Tia Carrere,9
Scout Taylor-Compton,9
Victoria Abril,9
Andrew Garfield,9
Camilla Belle,9
Clea DuVall,9
Olivia Thirlby,9
Peter Gallagher,9
Sam Elliott,9
Michael Nyqvist,9
Milo Ventimiglia,9
Tye Sheridan,9
Emmy Rossum,9
Ian Hart,9
Benedict Cumberbatch,9
Robert Davi,9
Sheryl Lee,9
Faye Dunaway,9
Ulrich Thomsen,9
John Krasinski,9
Matt McCoy,9
Seth Green,9
Armand Assante,9
James Cromwell,9
Kyle Gallner,9
Elizabeth Hurley,9
Sarah Gadon,9
Brigitte Lin,9
Gary Cole,9
Dane DeHaan,9
Jimmy Sheirgill,9
Andrea Riseborough,9
Derek Luke,9
Megan Fox,9
Tony Ka Fai Leung,9
Tchéky Karyo,9
Monique Parent,9
Mark Duplass,9
Mammootty,9
Peter Mullan,9
Carice van Houten,9
Takeshi Kitano,9
Oliver Platt,9
Amanda Peet,9
Maribel Verdú,9
Danny Aiello,9
Jon Favreau,9
Jason Schwartzman,9
Will Arnett,9
Frank Grillo,9
Janeane Garofalo,9
Corey Feldman,9
Yasiin Bey,9
Bokeem Woodbine,9
Bruce Campbell,9
Kate Mara,9
Joan Severance,9
Ice-T,9
Peter Weller,9
Joseph Vijay,9
Alyssa Milano,9
Ian Holm,9
Cedric the Entertainer,9
Emmanuelle Chriqui,9
Anne Archer,9
Mayumi Tanaka,9
50 Cent,9
Richard Norton,9
Erika Christensen,9
Jeremy Sisto,9
Marc Singer,9
Gretchen Mol,9
Roberto Benigni,9
Ziyi Zhang,9
Viola Davis,9
Cynthia Rothrock,9
Jeremy Piven,9
Cary-Hiroyuki Tagawa,9
Aditya Pancholi,9
Brie Larson,9
Ray Stevenson,9
Peter Coyote,9
Brion James,9
Stockard Channing,9
Isla Fisher,9
Joey Lauren Adams,9
Chuck Norris,8
Gulshan Grover,8
Deepak Tijori,8
Amber Tamblyn,8
Dan Fogler,8
Kyung-gu Sol,8
Charles Berling,8
Monica Potter,8
Christoph Waltz,8
Andy Samberg,8
Shawn Ashmore,8
Scott Adkins,8
Agnes Bruckner,8
Alexander Skarsgård,8
Peter Facinelli,8
Snoop Dogg,8
Kane Hodder,8
Andrew Divoff,8
Kyle MacLachlan,8
Ryan Kwanten,8
Karen Black,8
Garret Dillahunt,8
Johnny Knoxville,8
Sherilyn Fenn,8
Mary Elizabeth Winstead,8
Charles Dance,8
Domhnall Gleeson,8
Alicia Witt,8
María Valverde,8
Ben Mendelsohn,8
Sally Hawkins,8
Shabana Azmi,8
Gregory Smith,8
Mario Casas,8
Luis Tosar,8
Irène Jacob,8
Vincent Lindon,8
Tadanobu Asano,8
Mark Webber,8
Jeremy Davies,8
Mark Hamill,8
Maura Tierney,8
Kirstie Alley,8
John Heard,8
Mahima Chaudhry,8
Fanny Ardant,8
Judge Reinhold,8
Mary Stuart Masterson,8
Pamela Anderson,8
Dennis Haysbert,8
Garrett Hedlund,8
Thora Birch,8
John Hawkes,8
Elisha Cuthbert,8
Scott Glenn,8
Moritz Bleibtreu,8
Matthew Davis,8
Gena Rowlands,8
Daniel Stern,8
Nat Wolff,8
Twinkle Khanna,8
Jennifer Rubin,8
Sam Riley,8
Linda Hamilton,8
Patsy Kensit,8
Elisabeth Moss,8
Jacky Cheung,8
James Brolin,8
LL Cool J,8
Ben Barnes,8
Alexa PenaVega,8
Selena Gomez,8
Will Patton,8
Hugh Laurie,8
Shailene Woodley,8
Rebecca De Mornay,8
Tyrese Gibson,8
Nick Frost,8
Janet McTeer,8
Dan Stevens,8
Isaiah Washington,8
Predrag Miki Manojlovic,8
D.B. Sweeney,8
John Candy,8
Leighton Meester,8
Ted Danson,8
