USA,Defending Your Life (1991)
USA,Mannequin: On the Move (1991)
USA,King Ralph (1991)
USA,Frankie and Johnny (1991)
USA,Popcorn (1991)
Spain,High Heels (1991)
USA,Shakes the Clown (1991)
India,Sadak (1991)
USA,Dogfight (1991)
USA,House Party 2 (1991)
USA,Zandalee (1991)
USA,The Hard Way (1991)
USA,Ernest Scared Stupid (1991)
USA,Rambling Rose (1991)
UK,Mississippi Masala (1991)
Switzerland,Johnny Suede (1991)
USA,Adventures in Dinosaur City (1991)
USA,Billy Bathgate (1991)
Canada,Robin Hood (1991)
USA,Shattered (1991)
USA,Only the Lonely (1991)
Spain,Europa (1991)
France,The Lovers on the Bridge (1991)
USA,Where the Day Takes You (1991)
UK,Edward II (1991)
Canada,Black Robe (1991)
Hong Kong,Riki-Oh: The Story of Ricky (1991)
Canada,The Resurrected (1991)
USA,Delirious (1991)
USA,Pure Luck (1991)
UK,Enchanted April (1991)
USA,The Rapture (1991)
USA,Wedlock (1991)
Germany,Nekromantik 2 (1991)
USA,Class Action (1991)
USA,The Marrying Man (1991)
USA,Highway to Hell (1991)
UK,K2 (1991)
USA,Paradise (1991)
Italy,The Sect (1991)
France,Kafka (1991)
UK,Impromptu (1991)
USA,Beastmaster 2: Through the Portal of Time (1991)
USA,Firehead (1991)
USA,Company Business (1991)
USA,The Super (1991)
Japan,Godzilla vs. King Ghidorah (1991)
USA,Dolly Dearest (1991)
USA,Wild Orchid II: Two Shades of Blue (1991)
USA,The Pit and the Pendulum (1991)
USA,Other People's Money (1991)
USA,Subspecies (1991)
Australia,Proof (1991)
USA,Mortal Thoughts (1991)
India,Saajan (1991)
Italy,La riffa (1991)
USA,The Perfect Weapon (1991)
USA,The Butcher's Wife (1991)
Taiwan,Tui shou (1991)
USA,Shadows and Fog (1991)
Italy,Lucky Luke (1991)
USA,Rover Dangerfield (1991)
USA,Basket Case 3 (1991)
USA,Strictly Business (1991)
UK,The Princess and the Goblin (1991)
USA,At Play in the Fields of the Lord (1991)
USA,Alligator II: The Mutation (1991)
UK,Prospero's Books (1991)
Japan,Hachi-gatsu no rapusodî (1991)
USA,Another You (1991)
UK,Under Suspicion (1991)
USA,The Hitman (1991)
USA,Talkin' Dirty After Dark (1991)
USA,F/X2 (1991)
USA,True Colors (1991)
UK,Daughters of the Dust (1991)
UK,A Rage in Harlem (1991)
USA,One Good Cop (1991)
USA,Inner Sanctum (1991)
USA,V.I. Warshawski (1991)
USA,For the Boys (1991)
UK,Close My Eyes (1991)
UK,Where Angels Fear to Tread (1991)
France,Tous les matins du monde (1991)
USA,Body Parts (1991)
Japan,Dragon Ball Z: Lord Slug (1991)
USA,Guilty by Suspicion (1991)
USA,Once Around (1991)
Hong Kong,Yu pu tuan: Tou qing bao jian (1991)
Spain,Lovers: A True Story (1991)
Hong Kong,Wong Fei Hung (1991)
USA,Scissors (1991)
USA,Run (1991)
USA,The Boneyard (1991)
USA,McBain (1991)
USA,Do or Die (1991)
USA,Shout (1991)
USA,Poison (1991)
USA,Dead Space (1991)
USA,Night Eyes II (1991)
USA,Homicide (1991)
USA,Trancers II (1991)
USA,Motorama (1991)
Canada,The Adjuster (1991)
USA,Stepping Out (1991)
USA,Eyes of an Angel (1991)
USA,American Shaolin (1991)
USA,Liebestraum (1991)
Italy,La carne (1991)
USA,Rock 'n' Roll High School Forever (1991)
USA,Bingo (1991)
Italy,The Crawlers (1993)
USA,The Runestone (1991)
France,Madame Bovary (1991)
USA,The Dark Backward (1991)
USA,Nudist Colony of the Dead (1991)
France,Let Him Have It (1991)
USA,Late for Dinner (1991)
USA,Class of Nuke 'Em High Part II: Subhumanoid Meltdown (1991)
USA,Uncaged (1991)
UK,The Miracle (1991)
UK,Riff-Raff (1991)
Hong Kong,Zong heng si hai (1991)
Italy,Mediterraneo (1991)
USA,Closet Land (1991)
Mexico,La tarea (1991)
USA,Neon City (1991)
USA,Virgin High (1991)
Canada,Scanners II: The New Order (1991)
India,Thalapathi (1991)
USA,The Pistol: The Birth of a Legend (1991)
Italy,Johnny Stecchino (1991)
USA,Deathstalker IV: Match of Titans (1991)
USA,Past Midnight (1991)
USA,Children of the Night (1991)
Italy,The Inner Circle (1991)
Germany,Pappa ante Portas (1991)
USA,Year of the Gun (1991)
UK,The Object of Beauty (1991)
USA,29th Street (1991)
USA,Hangin' with the Homeboys (1991)
Hong Kong,Fei zhou he shang (1991)
USA,City of Hope (1991)
USA,Delta Force 3: The Killing Game (1991)
USA,The Borrower (1991)
USA,Queens Logic (1991)
India,Banjaran (1991)
Italy,Caged - Le prede umane (1991)
USA,Eve of Destruction (1991)
USA,Last Call (1991)
India,Jatt Jeona Mour (1991)
USA,Diary of a Hitman (1991)
UK,"The Favour, the Watch and the Very Big Fish (1991)"
France,"Mon père, ce héros. (1991)"
USA,976-Evil II (1991)
USA,The Taking of Beverly Hills (1991)
Hong Kong,Nu ji xie ren (1991)
France,J'embrasse pas (1991)
USA,Ted & Venus (1991)
India,Fateh (1991)
Japan,Roujin Z (1991)
France,La totale! (1991)
USA,Shock 'Em Dead (1991)
Taiwan,Xin qi long zhu (1991)
India,Khooni Panja (1991)
USA,Bloodmatch (1991)
Italy,Passion's Flower (1991)
India,Dancer (1991)
France,Agantuk (1991)
USA,Crooked Hearts (1991)
India,Dil Hai Ki Manta Nahin (1991)
UK,Cover-Up (1991)
Norway,The Polar Bear King (1991)
USA,There's Nothing Out There (1991)
Mexico,Sólo con Tu Pareja (1991)
Belgium,Toto le héros (1991)
UK,Rubin and Ed (1991)
USA,Paris Trout (1991)
Germany,Malina (1991)
USA,Fires Within (1991)
India,Farishtay (1991)
India,Guna (1991)
Hungary,The Seventh Brother (1991)
France,To meteoro vima tou pelargou (1991)
USA,Chains of Gold (1991)
UK,Scorchers (1991)
India,Chinna Thambi (1991)
Australia,Fatal Bond (1991)
Italy,Millions (1991)
France,'Merci la vie' (1991)
USA,My Heroes Have Always Been Cowboys (1991)
India,Love (1991)
India,Patthar Ke Phool (1991)
India,Jeena Teri Gali Mein (1991)
France,Van Gogh (1991)
USA,Talent for the Game (1991)
USA,Livin' Large! (1991)
India,Kshana Kshanam (1991)
Italy,Voices from Beyond (1991)
France,Close to Eden (1991)
USA,Scenes from a Mall (1991)
USA,True Identity (1991)
USA,Legal Tender (1991)
USA,Lonely Hearts (1991)
Japan,A Scene at the Sea (1991)
